Wilderness Day,31,13
A Walk in the Woods,1,1
Mt. McKinley,1,2
Ebony Sunset,1,3
Winter Mist,1,4
Quiet Stream,1,5
Winter Moon,1,6
Autumn Mountain,1,7
Peaceful Valley,1,8
Seascape,1,9
Mountain Lake,1,10
Winter Glow,1,11
Snow Fall,1,12
Final Reflections,1,13
Meadow Lake,2,1
Winter Sun,2,2
Ebony Sea,2,3
Shades of Grey,2,4
Autumn Splendor,2,5
Black River,2,6
Brown Mountain,2,7
Reflections,2,8
Black and White Seascape,2,9
Lazy River,2,10
Black Waterfall,2,11
Mountain Waterfall,2,12
Final Grace,2,13
Mountain Retreat,3,1
Blue Moon,3,2
Bubbling Stream,3,3
Winter Night,3,4
Distant Hills,3,5
Covered Bridge,3,6
Quiet Inlet,3,7
Night Light,3,8
The Old Mill,3,9
Campfire,3,10
Rustic Barn,3,11
Hidden Lake,3,12
Peaceful Waters,3,13
Purple Splendor,4,1
Tranquil Valley,4,2
Majestic Mountains,4,3
Winter Sawscape,4,4
Evening Seascape,4,5
Warm Summer Day,4,6
Cabin in the Woods,4,7
Wetlands,4,8
Cool Waters,4,9
Quiet Woods,4,10
Northwest Majesty,4,11
Autumn Days,4,12
Mountain Challenge,4,13
Mountain Waterfall,5,1
Twilight Meadow,5,2
Mountain Blossoms,5,3
Winter Stillness,5,4
Quiet Pond,5,5
Ocean Sunrise,5,6
Bubbling Brook,5,7
Arizona Splendor,5,8
Anatomy of a Wave,5,9
The Windmill,5,10
Autumn Glory,5,11
Indian Girl,5,12
Meadow Stream,5,13
Blue River,6,1
Nature's Edge,6,2
Morning Mist,6,3
Whispering Stream,6,4
Secluded Forest,6,5
Snow Trail,6,6
Arctic Beauty,6,7
Horizons West,6,8
High Chateau,6,9
Country Life,6,10
Western Expanse,6,11
Marshlands,6,12
Blaze of Color,6,13
Winter Cabin,7,1
Secluded Lake,7,2
Evergreens at Sunset,7,3
Mountain Cabin,7,4
Portrait of Sally,7,5
Misty Waterfall,7,6
Barn at Sunset,7,7
Mountain Splendor,7,8
Lake by Mountain,7,9
Mountain Glory,7,10
Grey Winter,7,11
Dock Scene,7,12
Dark Waterfall,7,13
